# time [s],Power [W]
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0.000978649
11.5,0.001957388
11.75,0.002936219
12,0.003915144
12.25,0.041120745
12.5,0.067945991
12.75,0.094777759
13,0.121616649
13.25,0.418548743
13.5,0.566134161
13.75,0.713784523
14,0.861508812
14.25,1.249810634
14.5,1.465679242
14.75,1.681702825
15,1.897897548
15.25,1.496083087
15.5,1.608489978
15.75,1.721003212
16,1.833628601
16.25,2.304280075
16.5,2.461122425
16.75,2.618150596
17,2.775374324
17.25,3.697312196
17.5,3.94448909
17.75,4.192032775
18,4.439962871
18.25,4.207512068
18.5,4.408828637
18.75,4.61049926
19,4.81253804
19.25,1.933003116
19.5,1.961673498
19.75,1.990391594
20,2.019158002
20.25,1.036591461
20.5,1.042726674
20.75,1.04886979
21,1.055020847
21.25,0.607267184
21.5,0.608521251
21.75,0.609776207
22,0.611032054
22.25,0.954825564
22.5,0.959472708
22.75,0.964125473
23,0.968783881
23.25,0.740886403
23.5,0.743087001
23.75,0.745289649
24,0.74749435
24.25,2.411245349
24.5,2.44761326
24.75,2.48404902
25,2.520553499
25.25,1.799395008
25.5,1.816490662
25.75,1.833615925
26,1.850771033
26.25,3.311088029
26.5,3.369779012
26.75,3.428594098
27,3.487535176
27.25,3.970819251
27.5,4.045611092
27.75,4.120573611
28,4.195709581
28.25,4.271021774
28.5,4.346512961
28.75,4.422185914
29,4.498043405
29.25,4.089780572
29.5,4.150245663
29.75,4.210859586
30,4.271624227
30.25,2.643028099
30.5,2.664298193
30.75,2.685614304
31,2.706976739
31.25,2.038945597
31.5,2.050038144
31.75,2.061151598
32,2.072286048
32.25,1.73350931
32.5,1.740687465
32.75,1.747877559
33,1.75507963
33.25,1.585222861
33.5,1.590742789
33.75,1.596271106
34,1.601807832
34.25,0.893053949
34.5,0.893763171
34.75,0.89447273
35,0.895182627
35.25,0.183191709
35.5,0.182264485
35.75,0.181340294
36,0.18041913
36.25,-1.316540178
36.5,-1.307313527
36.75,-1.298036007
37,-1.288708028
37.25,-2.762892501
37.5,-2.720312779
37.75,-2.677563989
38,-2.634648795
38.25,-2.697058615
38.5,-2.650284689
38.75,-2.603341035
39,-2.556230614
39.25,-2.01987524
39.5,-1.988849101
39.75,-1.957714124
40,-1.926471987
40.25,-1.803472667
40.5,-1.774908842
40.75,-1.746251091
41,-1.717500893
41.25,-2.536022686
41.5,-2.47189108
41.75,-2.407580919
42,-2.343096563
42.25,-2.726072912
42.5,-2.633432674
42.75,-2.540569623
43,-2.447490956
43.25,-1.712192082
43.5,-1.662539725
43.75,-1.612778045
44,-1.562910003
44.25,-0.584284253
44.5,-0.576082313
44.75,-0.567860126
45,-0.55961796
45.25,-0.102366489
45.5,-0.101920367
45.75,-0.10147136
46,-0.101019482
46.25,-0.320679932
46.5,-0.317391306
46.75,-0.314093606
47,-0.31078692
47.25,-0.411782845
47.5,-0.406213475
47.75,-0.400631137
48,-0.395035991
48.25,-0.142674011
48.5,-0.141662117
48.75,-0.140646512
49,-0.139627224
49.25,0.222481834
49.5,0.222481834
49.75,0.222481834
50,0.222481834
50.25,-0.042229086
50.5,-0.04209233
50.75,-0.041953965
51,-0.041813997
51.25,-0.644109097
51.5,-0.628373443
51.75,-0.612610179
52,-0.596819903
52.25,-0.942683034
52.5,-0.90243982
52.75,-0.862139079
53,-0.821782942
53.25,-0.244525902
53.5,-0.239910682
53.75,-0.235287825
54,-0.230657453
54.25,0.097550617
54.5,0.097329535
54.75,0.09710856
55,0.096887694
55.25,0.144824367
55.5,0.144824367
55.75,0.144824367
56,0.144824367
56.25,0.144824367
56.5,0.144824367
56.75,0.144824367
57,0.144824367
57.25,0.290495727
57.5,0.292358038
